maxX,minX,avgX,stdX,maxY,minY,avgY,stdY,maxZ,minZ,avgZ,stdZ,maxACC,minACC,avgACC,stdACC,XYcorr,XZcorr,YZcorr,energy
0.312712071,-0.304373061,0.121971604,0.12542742,0.515627449,-0.051423761,0.318577152,0.107637673,1.367594082,0.558712245,1.011991839,0.111656713,1.414111601,0.570794488,1.079805002,0.117397539,0.298502659,-0.13795812,0.182952233,3.474299133
1.231390612,-0.304373061,0.29339341,0.365015375,0.480881663,-0.511457959,0.121082111,0.223456834,1.367594082,0.086169547,0.916232452,0.259854188,1.414111601,0.570794488,1.078796651,0.150169205,-0.84338749,-0.694104523,0.873906936,3.70257714
1.231390612,-0.077830561,0.486246419,0.298647552,0.301593418,-1.309221122,-0.401633477,0.469826489,1.196644796,-0.22654251,0.424871456,0.475472032,1.375708404,0.502254365,1.036075864,0.175221469,-0.031375543,-0.03333642,0.935517543,4.189643532
0.914509082,-0.23488152,0.19260284,0.334648484,-0.403051112,-1.669187551,-0.869506308,0.226664531,0.5976275,-0.22654251,0.068852248,0.145973004,1.685652974,0.463683237,0.97054131,0.19406583,0.375639628,-0.064354546,0.067263609,4.050534361
0.289084939,-0.23488152,-0.083556664,0.097435434,-0.426678224,-1.669187551,-0.946558536,0.14228724,0.23488152,-0.109796684,0.124612284,0.064533452,1.685652974,0.463683237,0.965605483,0.140388895,-0.052553714,-0.509113555,-0.332166297,3.447113927
-0.073661061,-0.159830612,-0.097371589,0.014539876,-0.942305612,-0.961763367,-0.950978184,0.003317116,0.179288255,0.109796684,0.131005508,0.014217459,0.988650916,0.958050535,0.965088285,0.004931557,0.146536282,-0.722976913,0.093718683,1.913338963
-0.077830561,-0.101457694,-0.0915065,0.00456538,-0.946475102,-0.957593776,-0.951812082,0.002669114,0.133423816,0.109796684,0.12027601,0.006043215,0.971589513,0.958050535,0.963764161,0.002827837,0.115556668,-0.247646321,0.028546092,1.886653489
0.082000051,-0.129254316,-0.088671244,0.027015574,-0.903390408,-0.957593776,-0.949282592,0.010372034,0.129254316,-0.073661061,0.10543261,0.042236961,0.971422498,0.907081956,0.960489375,0.012171326,0.732016136,-0.737030458,-0.955295915,1.975595327
0.719932684,-0.129254316,0.194270635,0.322892718,-0.011118651,-0.957593776,-0.683685837,0.336716351,0.129254316,-0.879763265,-0.248668634,0.384593106,1.143386174,0.829849213,0.959954491,0.061688349,0.940317436,-0.993219883,-0.932286084,2.494315603
0.719932684,-0.047254267,0.549066796,0.183349288,-0.011118651,-0.90617,-0.277243567,0.274329236,-0.066711908,-0.879763265,-0.64374211,0.181257019,1.143386174,0.829849213,0.963257913,0.062019455,0.892509046,-0.963722631,-0.865710029,2.512660075
0.683797041,0.554542755,0.643074992,0.019894899,-0.082000051,-0.133423816,-0.098566844,0.011367039,-0.683797041,-0.758847959,-0.717569956,0.01446878,0.98604792,0.937519321,0.968929972,0.007947173,-0.071086313,0.790530208,-0.05747751,1.960942223
